id,product_name,return_amount,total_sold,date
65,Onions - Red Pearl,80,41,04/10/2019
66,Limes,3,15,04/10/2019
67,Wine - Barbera Alba Doc 2001,70,70,02/03/2019
68,"Gingerale - Schweppes, 355 Ml",35,67,06/01/2020
69,Dried Peach,100,98,17/05/2019
70,Wine - Peller Estates Late,93,8,20/11/2019
71,Sardines,83,69,03/12/2019
72,Water - San Pellegrino,55,65,19/03/2020
73,Myers Planters Punch,31,48,13/11/2019
74,Onions - Vidalia,98,56,22/03/2020
75,"Soup - Cream Of Broccoli, Dry",30,82,09/05/2019
76,Cheese - Parmesan Cubes,86,11,25/11/2019
77,"Trout - Rainbow, Frozen",29,29,07/12/2019
78,Wine - Kwv Chenin Blanc South,81,99,23/03/2020
79,Icecream - Dstk Strw Chseck,9,71,19/08/2019
80,Salmon - Fillets,46,1,13/04/2019
81,Vinegar - Cider,30,48,11/03/2020
82,"Beef - Rouladin, Sliced",5,79,06/07/2019
83,Triple Sec - Mcguinness,40,88,14/03/2019
84,Spinach - Frozen,46,82,22/01/2019
85,"Plate - Foam, Bread And Butter",51,96,19/03/2019
86,Bread - Pain Au Liat X12,84,46,03/08/2019
87,Muffin - Bran Ind Wrpd,11,61,04/08/2019
88,"Oranges - Navel, 72",74,18,07/02/2019
89,Easy Off Oven Cleaner,33,55,07/03/2019
90,"Mushroom - Shitake, Fresh",81,59,29/01/2020
91,Fork - Plastic,33,38,11/06/2019
92,Cake - Lemon Chiffon,32,15,10/03/2020
93,"Bread - Roll, Italian",58,73,13/05/2019
94,Cardamon Seed / Pod,59,24,29/08/2019
95,Fudge - Cream Fudge,32,4,20/07/2019
96,Swordfish Loin Portions,23,54,28/01/2019
97,Coffee - Irish Cream,98,41,31/01/2020
98,Wine - Ej Gallo Sierra Valley,43,22,01/03/2020
99,Cheese - La Sauvagine,28,10,30/01/2020
100,Shrimp - Tiger 21/25,29,87,03/09/2019
101,"Beef - Rib Roast, Cap On",58,66,25/01/2020
102,Cup - 8oz Coffee Perforated,87,80,22/08/2019
103,Wine - Ruffino Chianti Classico,64,8,27/07/2019
104,Cheese - Gouda,66,48,13/11/2019
105,Ice Cream Bar - Oreo Sandwich,98,17,10/01/2019
106,Pastry - Plain Baked Croissant,62,52,12/02/2020
107,Yoghurt Tubes,33,26,21/10/2019
108,"Wine - Niagara,vqa Reisling",56,80,12/03/2020
109,Cheese - Brick With Onion,48,20,20/04/2019
110,Nescafe - Frothy French Vanilla,94,79,23/02/2019
111,"Sauce - Black Current, Dry Mix",34,88,06/03/2019
112,"Wine - Red, Harrow Estates, Cab",86,7,08/12/2019
113,"Pasta - Lasagne, Fresh",27,54,02/03/2020
114,Bread - Frozen Basket Variety,45,97,22/04/2019
115,Flour - Fast / Rapid,21,17,22/05/2019
116,Fruit Mix - Light,5,37,01/08/2019
117,Scallops - 20/30,87,66,07/12/2019
118,Pork - Suckling Pig,77,17,18/07/2019
119,Foam Cup 6 Oz,34,64,27/02/2019
120,Cookie Trail Mix,29,13,14/03/2020
121,Wine - Zonnebloem Pinotage,87,58,29/01/2020
122,Chinese Foods - Chicken Wing,14,86,24/07/2019
123,Longos - Chicken Caeser Salad,58,17,12/03/2020
124,Tea - Honey Green Tea,75,72,22/04/2019
125,Pasta - Ravioli,3,7,05/07/2019
126,Puree - Mocha,94,17,15/01/2020
127,Gloves - Goldtouch Disposable,4,43,26/10/2019
128,"Bread - Roll, Whole Wheat",64,10,30/11/2019
129,Beef - Eye Of Round,14,37,31/10/2019
130,Oxtail - Cut,35,28,30/01/2020
131,Beef - Diced,71,74,26/12/2019
132,Tia Maria,80,81,03/01/2019
133,Wine - Barbera Alba Doc 2001,84,47,22/03/2019
134,Rolled Oats,67,76,28/11/2019
135,"Yogurt - Peach, 175 Gr",61,87,11/09/2019
136,Towels - Paper / Kraft,23,41,28/02/2020
137,Rice - Sushi,98,21,21/06/2019
138,Soup - Campbells Beef Noodle,37,20,30/11/2019
139,Bacardi Breezer - Strawberry,85,27,12/11/2019
140,"Juice - Pineapple, 48 Oz",96,95,22/01/2020
141,Bread - Olive,48,80,09/06/2019
142,"Yogurt - Raspberry, 175 Gr",95,10,04/09/2019
143,Ecolab - Hobart Washarm End Cap,65,17,21/02/2020
144,Hinge W Undercut,60,39,05/03/2019
145,Slt - Individual Portions,68,74,23/11/2019
146,Cod - Fillets,12,37,30/12/2019
147,Vodka - Moskovskaya,62,46,15/09/2019
148,Creme De Menth - White,44,5,23/02/2020
149,Puree - Raspberry,2,48,14/11/2019
150,Sesame Seed Black,28,21,17/02/2019
151,Salt - Sea,67,6,05/09/2019
152,Papayas,78,98,17/01/2020
153,Hand Towel,74,90,16/02/2019
154,Jicama,89,55,03/03/2020
155,Cookie Dough - Chocolate Chip,89,44,01/05/2019
156,"Bread - Pumpernickle, Rounds",94,3,11/12/2019
157,Ecolab Silver Fusion,94,90,24/09/2019
158,Container - Foam Dixie 12 Oz,17,99,26/08/2019
159,Appetizer - Seafood Assortment,49,53,22/06/2019
160,Tea - Jasmin Green,40,13,16/08/2019
161,"Bread - Roll, Soft White Round",87,85,02/10/2019
162,Turkey Leg With Drum And Thigh,83,7,09/02/2020
163,"Pork - Butt, Boneless",92,32,15/11/2019
164,Melon - Honey Dew,18,70,27/07/2019
165,Tia Maria,51,75,03/01/2019
166,Sauce - Ranch Dressing,19,14,26/12/2019
167,Sauce - Hollandaise,97,14,29/07/2019
168,"Wine - White, Riesling, Henry Of",56,40,18/06/2019
169,"Tart Shells - Savory, 3",26,52,03/03/2019
170,Tea - Green,95,20,30/09/2019
171,Pepper - Jalapeno,98,6,28/12/2019
172,"Nut - Almond, Blanched, Sliced",51,4,22/03/2020
173,Cinnamon - Stick,14,55,22/12/2019
174,The Pop Shoppe - Black Cherry,71,96,24/11/2019
175,Goat - Leg,62,25,20/03/2020
176,Soup - Campbells Broccoli,23,90,11/12/2019
177,Bread Bowl Plain,41,44,25/03/2019
178,Wine - Shiraz South Eastern,10,76,24/05/2019
179,"Bread - Roll, Calabrese",31,88,14/04/2019
180,Bread - Italian Corn Meal Poly,54,39,09/12/2019
181,"Thyme - Lemon, Fresh",3,90,01/07/2019
182,Scotch - Queen Anne,42,66,20/02/2019
183,Sauce - Ranch Dressing,27,46,07/02/2019
184,Russian Prince,77,23,08/05/2019
185,Wine - Port Late Bottled Vintage,25,53,07/03/2019
186,Tea - Green,49,85,24/01/2020
187,"Ecolab - Orange Frc, Cleaner",91,27,04/03/2020
188,Pineapple - Golden,78,31,24/05/2019
189,Curry Paste - Green Masala,100,17,23/05/2019
190,Beets,35,12,07/03/2020
191,Ecolab - Mikroklene 4/4 L,86,5,31/03/2019
192,"Lid - High Heat, Super Clear",75,13,28/01/2019
193,Pear - Asian,79,33,30/06/2019
194,Corn Syrup,82,34,26/07/2019
195,Cheese - Augre Des Champs,15,79,02/12/2019
196,Skirt - 29 Foot,86,30,22/01/2020
197,Cheese - Pont Couvert,17,7,04/12/2019
198,Beer - Creemore,66,80,13/04/2019
199,Rice Wine - Aji Mirin,74,16,13/12/2019
200,Creme De Cacao White,24,35,14/02/2020
201,Appetizer - Shrimp Puff,88,5,30/09/2019
202,Pepper - Sorrano,82,16,01/04/2019
203,Garbage Bag - Clear,70,73,23/06/2019
204,Cucumber - Pickling Ontario,25,3,07/12/2019
205,Island Oasis - Pina Colada,59,90,06/02/2020
206,Pomegranates,94,45,22/06/2019
207,Salt - Celery,50,67,16/05/2019
208,"Nut - Pistachio, Shelled",48,49,24/04/2019
209,Soup - French Onion,7,45,04/10/2019
210,Pork - Backfat,64,49,20/06/2019
211,Muffin Hinge Container 6,49,92,22/04/2019
212,Strawberries - California,37,67,24/03/2020
213,"Lemonade - Black Cherry, 591 Ml",29,18,10/03/2020
214,Soup - Base Broth Chix,33,76,27/03/2019
215,Carbonated Water - Wildberry,42,62,14/07/2019
216,Tomato Paste,34,3,14/08/2019
217,Cornflakes,2,64,05/09/2019
218,Lotus Rootlets - Canned,29,58,03/06/2019
219,Wine - Trimbach Pinot Blanc,41,76,06/03/2019
220,Beef - Short Loin,12,70,16/04/2019
221,Chinese Foods - Chicken,14,52,23/02/2020
222,Tea - Grapefruit Green Tea,9,76,17/06/2019
223,Muffin Chocolate Individual Wrap,25,42,24/12/2019
224,Bols Melon Liqueur,74,25,30/03/2020
225,"Wine - Sherry Dry Sack, William",5,81,19/05/2019
226,Lobak,30,63,15/06/2019
227,"Sauce - Bernaise, Mix",46,60,09/01/2020
228,Buffalo - Tenderloin,16,29,26/10/2019
229,Sausage - Breakfast,50,38,23/01/2019
230,Wine - Magnotta - Cab Sauv,50,76,24/01/2020
231,Molasses - Fancy,58,71,19/04/2019
232,Beets,75,3,17/02/2019
233,Macaroons - Homestyle Two Bit,62,69,14/02/2020
234,Sultanas,35,3,20/09/2019
235,Soup - Base Broth Chix,23,66,08/03/2019
236,Wine - Remy Pannier Rose,25,69,13/02/2020
237,"Sauce - Soya, Dark",54,54,31/10/2019
238,Haggis,77,34,15/03/2020
239,"Turnip - White, Organic",13,28,18/05/2019
240,Buffalo - Tenderloin,57,43,03/02/2020
241,"Oil - Truffle, Black",22,47,15/11/2019
242,Mayonnaise - Individual Pkg,3,2,23/06/2019
243,Lychee,1,88,14/12/2019
244,Wine - Lamancha Do Crianza,61,32,13/04/2020
245,Mints - Striped Red,86,51,26/01/2019
246,Fondant - Icing,81,10,25/02/2020
247,Pickerel - Fillets,12,39,04/12/2019
248,Fuji Apples,84,96,26/01/2020
249,Sesame Seed,39,72,03/08/2019
250,"Coconut - Creamed, Pure",3,3,11/09/2019
251,Pears - Anjou,73,35,12/02/2019
252,Island Oasis - Pina Colada,79,55,25/05/2019
253,Guinea Fowl,45,4,23/03/2019
254,The Pop Shoppe - Black Cherry,48,40,26/07/2019
255,Munchies Honey Sweet Trail Mix,47,87,23/12/2019
256,Macaroons - Two Bite Choc,43,69,11/05/2019
257,V8 Splash Strawberry Kiwi,50,39,06/03/2020
258,Ostrich - Prime Cut,55,80,27/12/2019
259,Quail - Jumbo,19,26,28/07/2019
260,"Pasta - Rotini, Colour, Dry",82,41,23/03/2019
261,"Pasta - Detalini, White, Fresh",64,2,16/01/2019
262,Walkers Special Old Whiskey,72,11,18/08/2019
263,Hog / Sausage Casing - Pork,30,35,02/10/2019
264,Bread - French Baquette,15,57,23/06/2019
265,Wheat - Soft Kernal Of Wheat,2,14,23/01/2020
266,Lettuce - Treviso,31,11,20/01/2019
267,"Bread - Roll, Canadian Dinner",100,42,16/12/2019
268,Eel - Smoked,69,49,10/10/2019
269,Truffle Cups - Red,69,16,15/12/2019
270,White Baguette,14,80,16/07/2019
271,Beef - Top Butt,32,60,03/03/2020
272,Cheese - Montery Jack,22,27,11/12/2019
273,Beer - Steamwhistle,98,99,16/05/2019
274,Lettuce - Radicchio,41,72,24/05/2019
275,"Salmon - Atlantic, Skin On",86,50,02/01/2019
276,Fruit Mix - Light,72,68,11/01/2020
277,"Tray - Foam, Square 4 - S",4,44,08/06/2019
278,Foil Cont Round,1,41,07/02/2020
279,Olives - Nicoise,14,92,11/04/2019
280,Mix Pina Colada,75,12,03/03/2020
281,"Beef - Ox Tail, Frozen",72,61,05/10/2019
282,Plasticforkblack,3,34,29/08/2019
283,Maple Syrup,35,13,22/09/2019
284,"Shrimp - 16 - 20 Cooked, Peeled",18,69,11/12/2019
285,Cloves - Whole,4,74,28/03/2020
286,Crab - Meat,40,100,13/05/2019
287,Plasticspoonblack,76,17,16/04/2019
288,Ketchup - Tomato,91,64,23/04/2019
289,"Tomatoes - Vine Ripe, Red",13,28,16/04/2019
290,Sprouts - Peppercress,19,5,30/01/2020
291,Chef Hat 20cm,59,76,11/04/2019
292,Gherkin - Sour,75,38,20/10/2019
293,"Wine - Red, Gamay Noir",52,51,28/03/2020
294,Tray - 12in Rnd Blk,17,13,04/04/2020
295,"Nut - Almond, Blanched, Whole",46,38,12/02/2019
296,Monkfish Fresh - Skin Off,64,30,01/03/2019
297,"Sauce - Soya, Dark",88,34,13/02/2019
298,Ice Cream - Super Sandwich,23,50,12/03/2020
299,Wine - Vineland Estate Semi - Dry,40,65,13/01/2019
300,Pickles - Gherkins,8,8,24/01/2019
301,Shrimp - Black Tiger 26/30,11,92,22/09/2019
302,"Fish - Base, Bouillion",26,30,30/04/2019
303,Truffle Cups - Brown,69,81,30/09/2019
304,Creme De Cacao White,88,74,05/12/2019
305,Juice - Ocean Spray Cranberry,7,58,12/12/2019
306,Tomato Puree,34,55,26/02/2020
307,Almonds Ground Blanched,22,13,30/07/2019
308,"Melon - Watermelon, Seedless",61,67,08/03/2019
309,Wine - Rosso Toscano Igt,78,7,29/08/2019
310,Wine - Beaujolais Villages,64,73,01/02/2020
311,Shrimp - 31/40,6,73,19/09/2019
312,Wine - Ruffino Chianti Classico,80,35,26/12/2019
313,Gloves - Goldtouch Disposable,80,9,12/08/2019
314,Cornstarch,2,48,21/07/2019
315,Wine - Chateau Aqueria Tavel,32,19,08/09/2019
316,"Beans - Black Bean, Canned",96,14,24/02/2019
317,Chicken - Whole Roasting,40,99,02/02/2020
318,Wine - Kwv Chenin Blanc South,30,79,05/11/2019
319,Nantucket Cranberry Juice,45,92,25/04/2019
320,"Nut - Walnut, Pieces",27,26,21/01/2020
321,Pepper - Green Thai,33,54,17/02/2019
322,Calypso - Strawberry Lemonade,27,73,20/05/2019
323,Thyme - Dried,20,89,10/02/2020
324,Dc - Sakura Fu,21,37,28/01/2020
325,Wine - Vovray Sec Domaine Huet,53,9,04/07/2019
326,"Yogurt - Blueberry, 175 Gr",8,88,14/11/2019
327,"Nut - Hazelnut, Ground, Natural",12,32,07/02/2019
328,Bread - Mini Hamburger Bun,68,47,06/02/2019
329,Shichimi Togarashi Peppeers,61,19,07/11/2019
330,Juice - Orange 1.89l,25,75,23/09/2019
331,Juice - Orange 1.89l,5,6,08/11/2019
332,Cookie Dough - Double,70,29,21/03/2020
333,"Noodles - Cellophane, Thin",2,51,10/01/2019
334,"Asparagus - Green, Fresh",19,25,27/04/2019
335,Bread Base - Italian,58,99,17/09/2019
336,Langers - Ruby Red Grapfruit,64,75,22/09/2019
337,Daikon Radish,35,21,15/05/2019
338,Cake - Pancake,13,25,16/05/2019
339,Beans - Fava Fresh,92,85,14/04/2020
340,Soup Campbells Mexicali Tortilla,1,6,12/01/2020
341,"Tray - Foam, Square 4 - S",87,99,07/01/2020
342,"Cake Circle, Paprus",17,36,22/01/2019
343,Garlic - Elephant,99,32,29/02/2020
344,Kiwano,51,90,05/02/2020
345,"Capon - Breast, Wing On",14,14,17/03/2020
346,Wine - Delicato Merlot,67,68,09/11/2019
347,Nut - Pumpkin Seeds,27,3,01/11/2019
348,Bagel - Whole White Sesame,44,53,25/11/2019
349,The Pop Shoppe - Grape,27,57,20/07/2019
350,"Soup - Knorr, Chicken Noodle",98,59,26/05/2019
351,Wine - Barbera Alba Doc 2001,19,97,02/06/2019
352,Hinge W Undercut,4,89,02/07/2019
353,"Shrimp - 16/20, Peeled Deviened",73,82,06/03/2019
354,Soup - Cream Of Potato / Leek,48,26,24/10/2019
355,Wine - Dubouef Macon - Villages,51,14,26/02/2020
356,"Wine - White, Ej",24,62,12/05/2019
357,"Pasta - Lasagna, Dry",27,36,09/02/2019
358,Towel Multifold,38,53,03/01/2019
359,Kale - Red,43,68,17/09/2019
360,Taro Root,75,97,27/09/2019
361,Fennel,78,87,28/09/2019
362,Bread Roll Foccacia,42,90,27/09/2019
363,Initation Crab Meat,11,73,04/04/2019
364,Beef - Ground Medium,58,21,12/03/2019
365,Wiberg Cure,84,71,21/10/2019
366,"Chicken - Breast, 5 - 7 Oz",80,57,25/09/2019
367,"Beef - Rib Roast, Cap On",52,75,12/01/2019
368,Shrimp - Black Tiger 16/20,69,94,15/02/2019
369,Mayonnaise - Individual Pkg,61,44,20/08/2019
370,"Tortillas - Flour, 12",97,26,09/03/2020
371,"Onions - Dried, Chopped",63,45,16/11/2019
372,"Nut - Pecan, Pieces",23,38,16/09/2019
373,Buffalo - Short Rib Fresh,39,90,16/08/2019
374,Tomato - Green,22,51,09/04/2020
375,Shrimp - Black Tiger 26/30,31,43,28/05/2019
376,Oven Mitts - 15 Inch,70,4,28/01/2019
377,Milk - Condensed,46,31,07/02/2019
378,Mikes Hard Lemonade,89,46,21/10/2019
379,Beef - Sushi Flat Iron Steak,62,58,29/10/2019
380,"Pasta - Spaghetti, Dry",63,16,08/12/2019
381,Tea - Apple Green Tea,49,51,07/02/2020
382,Salmon - Sockeye Raw,39,19,26/03/2020
383,Cognac - Courvaisier,44,12,08/09/2019
384,Seaweed Green Sheets,72,53,30/12/2019
385,Cilantro / Coriander - Fresh,85,1,12/03/2020
386,Plasticspoonblack,9,5,14/01/2019
387,Pepper - Red Chili,87,74,26/07/2019
388,Cookie Dough - Chocolate Chip,15,60,21/09/2019
389,Spice - Peppercorn Melange,49,3,04/08/2019
390,Tomato - Tricolor Cherry,24,42,28/02/2020
391,Kiwi Gold Zespri,60,26,11/11/2019
392,Iced Tea Concentrate,92,60,04/01/2019
393,Juice - Ocean Spray Cranberry,89,39,05/04/2020
394,Lambcasing,37,71,21/12/2019
395,Apple - Custard,15,72,19/10/2019
396,Wine - Penfolds Koonuga Hill,49,17,22/12/2019
397,Pork - Ham Hocks - Smoked,86,45,12/09/2019
398,Juice - Orangina,23,93,08/06/2019
399,Chips Potato Swt Chilli Sour,69,97,25/06/2019
400,"Potatoes - Yukon Gold, 80 Ct",51,78,07/10/2019
401,Wine - Pinot Noir Pond Haddock,77,76,13/11/2019
402,"Squash - Pattypan, Yellow",79,14,24/03/2020
403,Sloe Gin - Mcguinness,85,21,09/04/2020
404,Potatoes - Yukon Gold 5 Oz,55,63,11/01/2019
405,Sauce - Salsa,73,53,17/04/2019
406,Lambcasing,74,4,03/07/2019
407,"Tea - Darjeeling, Azzura",20,46,19/01/2020
408,Arizona - Green Tea,44,71,10/12/2019
409,Water - Tonic,13,46,15/01/2019
410,"Pepper - Chipotle, Canned",43,50,05/09/2019
411,Wine - Duboeuf Beaujolais,65,24,29/10/2019
412,Crab - Soft Shell,90,78,08/09/2019
413,Parsnip,12,15,02/11/2019
414,"Fish - Artic Char, Cold Smoked",83,100,06/04/2020
415,"Bread - Crumbs, Bulk",33,86,09/11/2019
416,Tart - Raisin And Pecan,40,82,02/12/2019
417,Grand Marnier,30,38,27/07/2019
418,Fib N9 - Prague Powder,72,16,01/07/2019
419,"Sugar - Sweet N Low, Individual",89,18,05/03/2019
420,Lid Tray - 16in Dome,9,34,24/04/2019
421,Canada Dry,56,92,29/10/2019
422,Milk - 2%,70,40,24/08/2019
423,Dried Peach,7,91,05/06/2019
424,Muffin - Mix - Strawberry Rhubarb,15,57,24/05/2019
425,Flower - Potmums,49,9,05/01/2019
426,Bag Stand,44,19,05/06/2019
427,Apricots Fresh,76,71,02/03/2020
428,Venison - Denver Leg Boneless,83,90,29/01/2020
429,Pecan Raisin - Tarts,26,56,29/06/2019
430,Mushroom - Porcini Frozen,88,86,14/05/2019
431,"Wine - Sherry Dry Sack, William",18,91,10/06/2019
432,"Seedlings - Buckwheat, Organic",87,100,28/05/2019
433,Wine - Acient Coast Caberne,91,22,21/07/2019
434,"Mushroom - Morels, Dry",71,61,16/10/2019
435,Cut Wakame - Hanawakaba,90,90,15/01/2019
436,"Fish - Atlantic Salmon, Cold",91,71,10/01/2019
437,"Lettuce - Romaine, Heart",70,1,07/03/2020
438,"Cheese - Romano, Grated",64,42,19/08/2019
439,Cinnamon Rolls,75,85,17/03/2020
440,Lettuce - Spring Mix,33,80,20/07/2019
441,"Bag - Bread, White, Plain",17,45,27/12/2019
442,Wine - Fume Blanc Fetzer,36,88,18/03/2020
443,General Purpose Trigger,83,70,04/01/2019
444,Appetizer - Chicken Satay,50,41,22/01/2019
445,Langers - Ruby Red Grapfruit,8,81,12/03/2020
446,Amaretto,73,35,10/01/2019
447,"Mushrooms - Black, Dried",92,43,27/07/2019
448,Ecolab Crystal Fusion,67,3,19/02/2020
449,"Club Soda - Schweppes, 355 Ml",8,58,06/03/2020
450,Squid U5 - Thailand,100,49,13/05/2019
451,Chicken - Whole Fryers,3,14,03/04/2019
452,Soup - Campbells Chicken,18,84,19/12/2019
453,Banana - Leaves,50,34,22/01/2019
454,Potatoes - Pei 10 Oz,44,48,06/10/2019
455,"Bread - Crumbs, Bulk",23,58,08/05/2019
456,Appetizer - Tarragon Chicken,56,78,06/02/2019
457,Coffee - Ristretto Coffee Capsule,87,96,09/03/2020
458,Sobe - Berry Energy,86,55,15/02/2019
459,Flour - All Purpose,90,75,16/08/2019
460,"Yogurt - Banana, 175 Gr",75,16,27/05/2019
461,"Vermacelli - Sprinkles, Assorted",58,80,20/03/2019
462,Chervil - Fresh,61,60,24/08/2019
463,Longan,65,87,15/12/2019
464,Lemonade - Pineapple Passion,52,1,19/03/2020
465,Beer - Camerons Auburn,78,77,11/01/2020
466,"Chocolate - Pistoles, Lactee, Milk",58,12,17/03/2019
467,Soup - Base Broth Beef,17,84,24/10/2019
468,Bread - Rye,85,45,06/02/2020
469,Amarula Cream,53,30,31/10/2019
470,Sobe - Cranberry Grapefruit,6,7,21/12/2019
471,Tomatillo,76,99,29/11/2019
472,Beef - Shank,65,100,25/09/2019
473,Couscous,44,34,18/11/2019
474,Sprouts Dikon,93,81,15/07/2019
475,Lettuce - Belgian Endive,93,23,10/12/2019
476,Container Clear 8 Oz,76,37,31/01/2019
477,Pizza Pizza Dough,38,6,21/05/2019
478,"Placemat - Scallop, White",74,21,24/03/2020
479,Curry Powder,28,20,05/02/2019
480,Cookies - Englishbay Wht,42,26,08/02/2019
481,Cheese Cloth No 60,4,79,03/08/2019
482,Syrup - Pancake,2,18,27/03/2019
483,"Apple - Delicious, Golden",91,51,29/03/2019
484,Soup Knorr Chili With Beans,32,51,03/03/2019
485,"Wine - Red, Cabernet Merlot",20,28,05/03/2020
486,Veal - Liver,67,31,29/10/2019
487,"Beans - Turtle, Black, Dry",34,61,27/06/2019
488,Scotch - Queen Anne,11,55,14/07/2019
489,Blue Curacao - Marie Brizard,24,59,16/03/2020
490,Bread - Petit Baguette,63,86,17/05/2019
491,Cake - Sheet Strawberry,71,95,16/02/2020
492,Chips - Miss Vickies,13,68,02/03/2020
493,"Split Peas - Yellow, Dry",52,69,21/01/2020
494,"Squash - Pattypan, Yellow",91,5,24/03/2019
495,V8 Pet,52,19,19/07/2019
496,Roe - White Fish,6,32,19/05/2019
497,Pork - Caul Fat,5,23,28/02/2020
498,Poppy Seed,74,99,09/08/2019
499,"Wine - White, Schroder And Schyl",65,27,06/01/2020
500,Blueberries - Frozen,47,65,29/05/2019
501,Cheese - Perron Cheddar,55,77,23/10/2019
502,Cheese - Wine,35,13,02/01/2019
503,Numi - Assorted Teas,98,30,15/11/2019
504,Salmon - Fillets,35,100,17/03/2020
505,Stock - Fish,37,3,29/02/2020
506,Nantucket - 518ml,12,92,17/03/2019
507,Broom - Angled,20,51,24/12/2019
508,Honey - Lavender,36,77,24/01/2020
509,Tea - Camomele,31,67,07/03/2019
510,Snapple Lemon Tea,52,8,06/12/2019
511,Beef - Ox Tongue,50,79,14/01/2020
512,Veal - Insides Provini,3,85,05/02/2020
513,Sauce - Caesar Dressing,61,51,30/05/2019
514,Madeira,98,75,31/01/2019
515,Piping Jelly - All Colours,53,36,18/04/2019
516,Halibut - Fletches,14,36,05/03/2019
517,Raspberries - Frozen,24,69,20/01/2019
518,Crackers - Water,82,10,18/11/2019
519,"Wine - Red, Cooking",18,34,17/04/2019
520,"Potatoes - Purple, Organic",41,20,04/07/2019
521,Cranberries - Dry,31,32,26/01/2019
522,Yoplait - Strawbrasp Peac,17,12,19/03/2019
523,Mustard - Dijon,39,83,29/06/2019
524,Plasticforkblack,73,6,03/01/2020
525,Cranberries - Dry,62,55,26/02/2019
526,Juice - Mango,22,35,31/10/2019
527,Island Oasis - Peach Daiquiri,51,76,19/01/2019
528,"Wine - Red, Gamay Noir",65,4,10/10/2019
529,Dooleys Toffee,83,27,09/03/2019
530,"Marsala - Sperone, Fine, D.o.c.",84,47,22/08/2019
531,"Soup - Beef Conomme, Dry",9,100,25/03/2019
532,The Pop Shoppe - Grape,85,2,05/05/2019
533,Lid Tray - 12in Dome,2,64,05/04/2019
534,Beer - Original Organic Lager,85,92,26/07/2019
